NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"SERVICIO DE APOYO A 
VIGILANCIA CON DRONES 
PARA LA DIRECCIÓN 
GENERAL DE CUSTODIA DEL 
TERRITORIO E INTERIOR","17.424,00 €","14.400,00 €",AEROMEDIA UAV,,"HASTA 30 DIC 
2024",SERVICIOS,
,"SUMINISTRO MUNICIÓN 
PARA ARMAS DE FUEGO","3.254,00 €","2.689,26 €",ARMERÍA TRELLES S.L,,15 DÍAS,SUMINISTRO,
,"REPARACIÓN DE LA 
CALDERA DE LA OFICINA 
NOROCCIDENTAL DE 
VEGADEO","272,55 €","225,25 €","BAXI-TECNO OCCIDENTE 
S.L.",,"QUINCE (15) 
DIAS",SERVICIO,
,"CONSTRUCCIÓN 6 NUEVAS 
MARQUESINAS","43.000,00 €","35.537,19 €",BETTER DESIGN SL,,45 DIAS,OBRA,
,"SEGUIMIENTO AMBIENTAL 
DEL DRAGADO DEL PUERTO 
DE LASTRES","18.029,00 €","14.900,00 €","BIOSFERA CONSULTORIA 
MEDIOAMBIENTAL, SL,",,"OCHO (8) 
MESES",SERVICIO,
,"ESTUDIO PARA 
INTEGRACION DE DEMESIX 
EN PLATAFORMA CONECTA","1.669,80 €","1.380,00 €","DEMESIX DEALERS 
SOLUTIONS SL.",,6 MESES,SERVICIO,
,"ADQUISICIÓN DE 
VESTUARIO PARA LA 
GUARDERÍA DEL MEDIO 
NATURAL. EJECUCIÓN DE 
SENTENCIA ENRIQUE 
MARTÍNEZ GARCÍA","435,17 €","359,64 €","DEPORTES ASTURIAS, 
S.L.",,"HASTA 5 
ABRIL 2024",SUMINISTRO,
,"ADQUISICIÓN DE 
VESTUARIO PARA LA 
GUARDERÍA DEL MEDIO 
NATURAL. EJECUCIÓN DE 
SENTENCIA VESTURARIO 
JOSÉ ENRIQUE BARONA 
FLÓREZ (Nº DE SENTENCIA 
14/2024)","435,17 €","359,64 €","DEPORTES ASTURIAS, 
S.L.",,"HASTA 5 
ABRIL 2025",SUMINISTRO,
,"MEJORA INSTALACIONES 
ALUMBRADO PÚBLICO 
C/ RAMONA RODRIGUEZ 
BUSTELO","7.053,76 €","5.829,55 €","ELECTRICIDAD Y 
ELECTRÓNICA MARTIN 
A.G.",,"QUINCE (15) 
DIAS",OBRA,
,"INSTALACIÓN DE SISTEMAS 
DE CLORACIÓN EN 
DEPÓSITOS DE AGUA EN 
RIOSA","10.801,50 €","8.926,86 €",FCC AQUALIA S.A.,,"QUINCE (15) 
DIAS",OBRA,
,"SAT LEVANTAMIENTO 
TOPOGRAFICO DE VÍA DEL 
FUNICULAR DE BULNES","5.868,50 €","4.850,00 €",INGECOR GEOMÁTICA SL,,1 MES,SERVICIO,
,"ESTUDIO PARA LA 
INTEGRACION DE KBO 
SISTEMAS DE GESTION SL 
EN PLATAFORMA CONECTA","7.453,60 €","6.160,00 €","KBO SISTEMAS DE 
GESTION SL",,6 MESES,SERVICIO,
,"MEJORA PAVIMENTO VIAL 
SOTO-ESPINEDO","42.345,16 €","34.996,00 €",PAVITEK 2010 S.L.,,"DOS (2) 
MESES",OBRA,
,"MEJORA DRENAJE Y 
PAVIMIENTACIÓN VIAL EN 
BUELLES","29.638,83 €","24.494,90 €",PAVITEK 2010 S.L.,,"DOS (2) 
MESES",OBRA,
,"ACONDICIONAMIENTO 
VIALES BARRIO LA ALDEA","45.101,54 €","37.274,00 €",PJR GESTIÓN S.L.,,"DOS (2) 
MESES",OBRA,
,"SUMINISTRO DE MATERIAL 
DE FERRETERÍA UTILLAJE 
PARA EL SERVICIO DE 
AGENTES 
MEDIOAMBIENTALES EN EL 
AÑO 2024","16.110,23 €","13.314,24 €","RAYMA SUMINISTROS 
INDUSTRIALES, S.L.",,"HASTA 30 DIC 
2024",SUMINISTRO,
,"REPARACION DE CUBIERTA 
DE LA ESTACION DE 
AUTOBUSES DE MIERES","986,15 €","815,00 €",RODRIGO BOBIS PUENTE 1 MES,,,SERVICIO,
,"SAT REDACCIÓN DEL 
PROYECTO 
INTERCAMBIADOR DE 
TRANSPORTE EN CAMPUS 
DE EL CRISTO (OVIEDO) 
MRR","12.674,75 €","10.475,00 €","TECNICA Y PAISAJE 
INGENIERIA SL",,2 MESES,SERVICIO,
,"ACONDICIONAMIENTO 
TRAMO CAMINO PENDONES","15.125,00 €","12.500,00 €","TRESGUERRES OBRAS Y 
PROYECTOS S.L",,UN (1) MES,OBRA,
