NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"PROYECTO PATOLOGÍAS CP 
VENTURA PAZ SUÁREZ","5.929,00 €",,"CENTRO DE ANÁLISIS Y DISEÑO DE 
ESTRUCTURAS, SA (CADESA)",,1 MES,,
,"CSS OBRAS ASCENSOR 
EVARISTO VALLE","1.020,03 €",,CLAUDIO GARCÍA CASTRO,,3 MESES,,
,Distintivos identificativos,"145,20 €",,"COMERCIAL CENCIELLA DE 
PAPELERIA,SL",,1 mes,,
,Distintivos identificativos,"235,95 €",,"COMERCIAL CENCIELLA DE 
PAPELERÍA,SL",,1 mes,,
,"OBRAS DOTACIÓN ASCENSOR CP 
EVARISTO VALLE, GIJÓN","47.363,75 €",,CONSTRUCCIONES BENAUTGEL SL,,3 MESES,,
,"OBRAS ADECUACIÓN PLANTA 
PRIMERA CRA CASTRILLÓN ILLAS, 
ESCUELA DE NAVECES, 
CASTRILLÓN","15.427,50 €",,CONTRATAS ELCE SL,,4 SEMANAS,,
,"Consumo ordinario y garantía de la 
fotocopiadora modelo LEXMARK 
XM9145 con nº de serie 
S7421013050119","2.500,00 €",,"DIGITAL ASTUR, S.L.",,"De 1 enero 2023
a 31 diciembre 2023",,
,Folios impresos,"2.117,50 €",,"GRAFICAS APEL, SL",,1 mes,,
,Destrucción documentos,"550,00 €",,"INGENIERÍA SIGLO XXI DE CULTURA 
ASTURIAS, SL",,1 mes,,
,"ATDE Y CSS OBRAS AMPLIACIÓN 
CP MALIAYO, VILLAVICIOSA","8.954,00 €",,MIGUEL DÍAZ NEGRETE PALACIO,,9 MESES,,
,"CSS OBRAS ADECUACIÓN 
PLANTA PRIMERA CRA 
CASTRILLÓN ILLAS, ESCUELA DE 
NAVECES, CASTRILLÓN","695,75 €",,MIGUEL DÍAZ NEGRETE PALACIO,,4 SEMANAS,,
,"Transporte de material escolar y de 
oficina desde el CP Rey Pelayo hasta 
los colegios públicos La Escuelona y 
El Llano, todos ellos sitos en Gijón","2.286,90 €",,"Mudanzas Isaías Estrada, S.L.U.",,2 días (11 y 12 de mayo),,
,"PROYECTO REFORMA 
INSTALACION ELETRICA CP 
VIRGEN DEL FRESNO","2.241,31 €",,PROYECTASTUR INGENIERIA,,2 MESES,,
,"CSS OBRAS ADECUACIÓN CP EL 
BOSQUÍN, EL ENTREGO, SAN 
MARTÍN DEL REY AURELIO","484,00 €",,QNK ARQUITECTURA,,20 DÍAS NATURALES,,
,"CSS OBRAS REFORMA PATIO EEI 
PEÑA CARESES","471,90 €",,QNK ARQUITECTURA SLP,,1 MES,,
,"Suministro de licencias informáticas 
comerciales","3.864,43 €",,"Seidor Tech, SAU",A33204306,Licencias anuales,,
,Fotocopiadora Mantenimiento,"283,48 €",,"Sistemas de Oficina de Asturias 1, S.L.",,6 meses,,
,Fotocopiadora copias,"600,00 €",,"Sistemas de Oficina de Asturias 1, S.L.",,6 meses,,
,"Mantenimiento de la impresora 
modelo Canon IRADV-C5045I","513,56 €",,"Sistemas de Oficina de Asturias 1, S.L.",,"1-1-2022 hasta sustitución 
por otro equipo",,
,"Consumo por fotocopias del equipo 
modelo IR-C5045i","3.500,00 €",,"Sistemas de Oficina de Asturias 1, S.L.",,"1-1-2022 hasta sustitución 
por otro equipo",,
,Transporte oposiciones,"2.662,00 €",,"TRASNPORTES URGENTES DEL 
POLÍGONO DE SILVOTA, SL",,1 mes,,
