NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Máquina de agua (cooler) cuota 
mensual","38,72 €",,"ACQUAJET SEMAE, S.L.U.",,"Tres 
meses",Servicios,
,"Servicio de internet en el nodo de 
Mieres","413,82 €",,"ADAMO TELECOM IBERIA, S.A.",,"Tres 
meses",Servicios,
,"Trámites legalización libros y 
depósito de cuentas","6,30 €",,"COLEGIO DE REGISTRADORES 
DE ESPAÑA",,Inmediato,Servicios,
,"Suministro e instalación de Tarjeta 1 
x SUN SPARC Enterprise M4000 XSCF","1.936,00 €",,"ECONOCOM SERVICIOS, S.A.",,"Tres 
meses",Suministro,
,"Suministro y reparación SUN SPARC 
Enterprise M4000 completo","3.811,50 €",,"ECONOCOM SERVICIOS, S.A.",,"Una 
semana",Suministro,
,"Mantenimiento 8*5 4h del hardware 
de los servidores SUN SPARC M4000 
(con 2 procesadores) y HP PROLIANT 
DL360 G9 S.O. Red HAT Enterprise 
Linux","1.422,96 €",,"ECONOCOM SERVICIOS, S.A.",,Un año,Servicios,
,"Suministro, instalación y 
configuración del servidor SUN: 
reemplazo de los discos por otros de 
mayor capacidad; reorganización de 
la estructura y configuración de 
particiones","4.138,20 €",,"ECONOCOM SERVICIOS, S.A.",,Un mes,Mixto,
,"Seguro de Responsabilidad Civil 
empresarial","3.309,39 €",,"ÈVERAT SUSCRIPCIÓN, S.A.",,Un año,Servicios,
,"Suministro de 200 catálogos NODO 
de 44 páginas","768,35 €",,"GRÁFICAS ASTURCOPIA, S.L.",,Un mes,Suministro,
,Trámites poder general,"109,11 €",,MANUEL J. TUERO TUERO,,Inmediato,Servicios,
,"Servicio de alarma de oficina de GIT 
y nodo de Mieres","525,33 €",,"MOVISTAR PROSEGUR 
ALARMAS, S.L.",,"Tres 
meses",Servicios,
,"Trámites legalización libros y 
depósito de cuentas","210,57 €",,"REGISTRO MERCANTIL DE 
ASTURIAS",,Inmediato,Servicios,
,"Análisis GAP del cumplimiento del 
Esquema Nacional de Seguridad 
(ENS)","8.712,00 €",,SIDERTIA SOLUTIONS S.L.,,Un mes,Servicios,
,Combustible,"48,50 €",,"SOLRED, S.A.",,"Tres 
meses",Suministro,
,Servicio de mensajería,"13,31 €",,"TATITRANS XXI, S.L.",,"Tres 
meses",Servicios,
,"Suministro de dos (2) unidades de 
3FE50479AB EMA-EHNT-A ALCATEL 
LUCENT (refurbished)","5.808,00 €",,TXO SYSTEMS SAS,,Un mes,Suministro,
