NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Servicio de Auditoría AENOR,"3.448,50 €",,"AENOR CONFIA 
S.A.U.",,3 días,SERVICIOS,
,"Servicio de reparación del equipo Microondas 
del C.S. Mieres Sur del Área Sanitaria VII","1.170,07 €",,"Agenor 
Mantenimiento S.A.",,1 día,SERVICIOS,
,"Mantenimiento preventivo anual respiradores 
portátiles","1.270,50 €",,"AGENOR 
Mantenimientos S.A.",,1 mes,SERVICIOS,
,"Mantenimiento de Instalaciones térmicas de 
los C. de A. Primaria, C. Periféricos y CSM del 
Área Sanitaria VII","8.421,60 €",,"AMPRE, Asturiana de 
Mantenimiento 
Preventivo",,6 meses,SERVICIOS,
,"Servicio de Calibración del equipo de 
otoemisiones del Hospital Vital Álvarez Buylla 
del Área Sanitaria VII del Servio de Salud del 
Principado de Asturias","1.364,88 €",,AUDIOLOGÍA S.L.,,1 día,SERVICIOS,
,"Adecuación de mostrador de atención al 
público del C.P. Ujo del Área Sanitaria VII del 
Servicio de Salud del Principado de Asturias,","2.032,80 €",,"CARPINTERIA 
EBANISTERIA SABINO 
ARGÜELLES S.L.",,15 días,SERVICIOS,
,"Suministro de Escáner para Resgistro y Punto 
de Consentimiento Informado del Área VII del 
SESPA","765,00 €",,D.A.C Informática S.L.,,1 día,SUMINISTROS,
,"Suministro de Control de Visión Visiotest para 
el Servicio de Prevención de Riesgos Laborales 
del Área VII","2.934,25 €",,"DH Material Médico 
S.L.",,1 día,SUMINISTROS,
,"Suministro del Armario de refrigeración 
vertical para el Hospital Vital Alvarez Buylla 
del Área Sanitaria VII","6.601,94 €",,DISMED S.A.,,1 día,SUMINISTROS,
,"Servicio de reparación de la Central de 
Detección de Incendios en el Centro de Salud 
de Mieres Norte del Área Sanitaria VII de 
Servicio se Salud del Principado de Asturias.","2.806,66 €",,"EULEN 
Mantenimiento S.A.",,3 días,SERVICIOS,
,Reten Mantenimiento AP,"17.355,25 €",,EULEN S.A,,"3,5 meses",SERVICIOS,
,"Mantenimiento PCI Centros de AP y CSM del 
Área Sanitaria VII","6.490,44 €",,EULEN S.A.,,6 meses,SERVICIOS,
,"Arrendamiento equipos Hemodiálisis del 
HVAB","2.063,05 €",,"Fresenius Medical 
Care España S.A.U.",,1 mes,SUMINISTROS,
,Gafas FRENZEL,"773,82 €",,GAES AMPLIFON,,1 día,SUMINISTROS,
,"Servicio de reparación del motor de quirófano 
de traumatología del HVAB","1.234,20 €",,"GARCÍA MENÉNDEZ 
SLU",,7 días,SERVICIOS,
,"Reparación motor de traumatología 
(Quirófano).","1.379,40 €",,"GARCÍA MENÉNDEZ 
SLU",,1 día,SERVICIOS,
,"Servicio de calibración de medios isotermos 
en el HVAB y C.S. Mieres Sur","2.069,10 €",,IBERMAN S.A.,,15 días,SERVICIOS,
,"Servicio de reparación de la mesa quirúrgica 
Q7","1.493,93 €",,IBERMAN S.A.,,10 días,SERVICIOS,
,Validación Lavadora Steris,"1.487,09 €",,IBERMAN S.A.,,1 día,SERVICIOS,
,Iluminación Gerencia C.S. Mieres Sur,"8.468,17 €",,Instalaciones,,7 dias,SERVICIOS,
,"Calibración de sondas de temperatura de los 
frigoríficos de la Unidad de Vacunas del HVAB","401,83 €",,"ISCAL, 
Instrumentación y 
Servicios de 
Calibración S.L.",,1 día,SERVICIOS,
,"Servicio de Mantenimiento Integral de 
Puertas, persianas y Portones de C.S de 
Atención Primaria y CSM del Área Sanitaria VII","1.741,80 €",,KONE Elevadores S.A.,,6 meses,SERVICIOS,
,"Servicio de Sustitución de cristales en el 
Centro de Salud de Mieres Sur del Área 
Sanitaria VII del Servicio de Salud del 
Principado de Asturias","3.060,25 €",,"Mantenimiento y 
reformas BYM S.L",,3 días,SERVICIOS,
,"Reparación humedades en Consulta de 
Enfermería C.P. Piñeres","746,57 €",,"Mantenimiento y 
reformas BYM S.L",,1 día,SERVICIOS,
,Adecuación nueva consulta Salud Mental,"4.627,04 €",,"Mantenimiento y 
reformas BYM S.L",,1 mes,SERVICIOS,
,"Reparación Sustitución Lampara 
Videoprocesador","2.068,18 €",,"Pentax Medical Ibera, 
S.A.",,1 día,SERVICIOS,
,"Suministro de Microonda Fisioterapia C.S. 
Pola de Lena","4.719,00 €",,PRIM S.A,,1 día,SUMINISTROS,
,"Suministro en régimen de alquiler de material 
audiovisual para la celebración del evento del 
décimo año de inauguración del HVAB del 
Área Sanitaria VII.","3.394,05 €",,"PROIMA-ZEBRASTUR 
S.L.",,2 días,SUMINISTROS,
,"Pruebas termométricas y lazo térmico para 
equipos de Esterilización del HVAB del Área 
Sanitaria VII","2.582,73 €",,"Servicio Validaciones 
Antonio Matachana 
S.A",,1 dia,SERVICIOS,
,Reparación Optica Esterilización,"544,50 €",,"SURG&MEDIC, 
Suministros Médico-
quirúrgicos S.A.",,1 día,SERVICIOS,
,"Servicio de sustitución de filtros HEPA de 
aspiración de equipos dentales en Centros de 
atención primaria del Área VII","1.228,73 €",,VIDAL DENTAL S.L.,,7 días,SERVICIOS,
